text,actual_data,prediction_data,result,indikasi kata
interstellar paling recommended sih  the martian tentang astronout yang bertahan hidup di mars sendirian  kalau mau yang ada romancenya bisa nonton the space between us,1,1,1,
israel air strike on syria kills seven people,0,0,0,
in the arthmetic of love  one plus one equals everything  and two minus one equals nothings  mignon mclaughlin  dalam ilmu artmatika cinta  satu tambah satu sama dengan segalanya  dan dua dikurangi satu sama dengan tidak ada ,1,1,1,
our favourite vice president nominees respect his people confidences   calon wakil presiden kesukaan kita menghormati rasa percaya rakyatnya    jakarta  indonesia ,1,1,1,
ada lagi preview nya  do not know who but keknya kamu yang lebih tau lah ini seifuku nya siapa hehe,1,1,1,
saya lebih parah nder  setangan tangan sampai ke punggung tangan ngelopek kering begitu  rajinin pakai vaseline yang petroleum or whatever  jelly nder  it works well on me so far,1,0,FALSE,"lebih parah, whatever"
keterpurukan pengetahuan politik ini yang kita alami disumbang juga oleh masyarakat yang well educated tentang politik tidak menjalankan fungsi sosialnya sebagai bagian dari yang mencerdaskan bangsa ,1,0,FALSE,"keterpurukan, tidak menjalankan"
astaghfirullah    mmemang hanya sekedar sesempit ini cara berpikirnya gerombolan sana itu   not respect at at   losing logical and i hope allah will heal their minds from hatric  ,0,0,0,
 a nation that destroys its soils  destroys itself  forests are the lungs of our land  it is purifying the air and giving fresh strenght to our people     franklin d  roosevelt  happy international forest day   save forest  save life  best regard  bslc ,1,1,1,
not bad   start from   k  enak kok   gih gih cobain kalau dekat   hahaha,1,1,1,
serius amat jawab nya,0,0,0,
namun  fakta berikut ini bisa jadi membuatmu berpikir ulang sebelum memutuskan prinsip hidup single  why not  ,0,1,FALSE,"berpikir ulang, why not"
well  i do not expect either klo dia begitu   but as a bait  harusnya bisa dibongkar yang besar besar nya   naver menutup akses soal kasus ini kan     udah dilicinin apa ,0,0,0,
karena ya memang di peak season  workload tambah dan harus di kerjain dalam kurun waktu yang singkat  sangat   contoh  dapet task nya sore   banyak  harus selesai besok siangnya  ya memang udah dapat deadline dari sana nya begitu   it does not mean that my workload is not well managed,1,0,FALSE,"workload, singkat, deadline, not well"
