text,label
not yang sederhana dengan lirik yang dalam bisa trending di spotify ya  here is a song for you    waktu yang salah  feat  thantri  by fiersa besari,1
lovely writing dari teman paling kesayangan aku   well  we all here can relate to it  kamu harus baca   impossible   inevitable by,1
ready bos am uk    x   dan jam uk   x  ,1
i noticed  bagus suaranya   seru kok  akhirnya  well sejak      sih  merekam podcast tidak sulit sulit amat hoho,1
sewa ratusan laptop  komputer  pc all in one untuk tes unbk  cpns  seleksi pegawai  dll  klik,1
mumpung belum terlambat mas  suka terhadap sesuatu benci terhadap sesuatu  janganlah membongkar aib yang sudah meninggal  go back  tidak usah urusin itu politik  hidupmu hanya sekali  use it well ,1
testi pembelian crocs and fitflop di mothy collection  add instagram  mothycoll  cek foto ,1
well   saya tidak salahin kalian kalian yang kaget lihat greenteck sih   pride  as a crew or solo di hiphop battle sekarang tidak seberharga dulu    sorry to say      tidak seru    ,0
well mannered saja aku mah  atau tidak yang perhatian boleh  aku haus akan perhatian soalnya hehe,1
                yang bener saja kak jam    siang not time delivery  bukan jam pengantaran      ,0
sebenarnya melihat seseorang baik dan buruknya bukan berdasarkan agamanya tetapi memang lihat sifat orangya dan perilaku but not based his religion,1
eh jelasin dong ini jsf lagi ribut apa astaga   can someone please explain this jsf things i do not get it because i do not understand japanese and the auto translate might be wrong,1
tentara yang suka kedip    well well ,0
iklan ahok jahat ahok menciptakan bara api antara rakyat pribumi dengan tionghoa yang dibalut dengan phobia     ahok kafir rasis   ,0
album exo direct message umt ready all version   poster     k pcs   ada shopee,1
percayalah bukan saya yang ngerubah kamu  one day you will find the right one  thats not me ,1
all about keju,1
well done  good job erina  we are one  saranghaja  haduh nangis akutu erina selalu urutan nomer   masalah vote exo,0
si bejat cabul yang kriminal bicara kriminalisasi ulama  dasar munafik,0
 jalanan lagi tidak well  wkwkwkwk ketawa sama kosakata ini,1
tidak mengerti saya    belum pernah praktek  baru ikut grup whatsapp saja haha,1
earlier  when i was on my way home from  the ojol driver suddenly ask me out of nowhere   mas  suka bola tidak    and surprisingly  i was capable to give bare minimum banters like    oh indonesia main lawan mana     memang kualifikasi piala apa     wah lawan thailand ya  susah tuh ,1
we are not that close untuk pergi bersama  baru kenal berapa lama aja udah ajak ajak pergi  tidak suka sangat woiii  udah begitu ngebet sangat pula,0
not bad tum   tadinya saya kira bakalan aa uu tapi lancar juga  tanpa teks pula nilai   untuk segment pembuka  ,1
well    kartu cuma pake ktp is a great idea  saya   temen teman pernah ngobrolin itu sudah lama sangat,1
top    questions that annoys people  mas password wifi apa ya,0
jateng    m demi persatuan why not dari pada seperti suriah perang saudara  kamu tidak nyinyir    jt bambu di bundaran hi untuk apa  ,0
not bad sih sepertinya hehe  teteh gimana harinya ,1
bangke   fuck this shit    ,0
waalaikumsalam  not really ,0
i mean  ada yang merasa baik baik saja dengan responsibility nya  tapi kadang aku sendiri merasa kalau bebannya way outweigh the privilege  entahlah  says i am still immature in some way     menyebalkan tidak sih  ditolak dengan tanpa kejelasan  like being told not to use our rational mind ,0
  ruas tol dalam kota jakarta as well,1
ingin indomie with telor but males cook nya hahaha,0
ready in stock      brand new    schecter japan bh  std    trans red include original hardcase  kabar gembira guys  sekarang schecter japan  telah hadir di ,1
sepertinya yang no    salah rekap deh mas  not breaking down ,0
when you setidak percaya itu sama orang lain  ,0
kamu adalah sosok  her  dalam kutipan  the only thing i ask of you is to hold her when i am not around  di lagu dear god   setidaknya dulu ,0
i am  tapi jasaku not only for sex seperti di video ini    saya menemani my partner kind     untuk ngopi ngobrol jalan   izin rt   thank you suhu,0
mungkin sama komentar nya dia waktu dapat gelar santri terus tidak lama jadi ulama    it is not a good example definitely ,0
not yet tapi sudah masuk list  list filmku masih banyak  ngantri  mau nyicil sekarang tapi error indoxxi nya  ngeselin haha,0
i was so triggered  i tried my best to calm down  i fought hard not to say anything  tapi make up   k sebulan ya lebih baik kerja aja tidak usah kawin kalau yang tersedia laki model begini ,0
i am not gonna fight your war  i am gonna end it saya lagi suka ngomong itu niihh,1
tidak enak lagi kan  coret saja tempat itu sudah  not worth your money dan capeknya ke sana ,0
not sure  ada area di lantai atas tapi tidak sempet nanya kalau ada non smoking huhu,0
nih saya muncul  coba kenalannya sama yang ini  gampang akrab tapi jangan harap sikap yang manis dan cute gitu ya because i cannot ,0
ada ribut ribut apa ini    need some friends who are willing to send me memes on daily basis,1
well    mau melupakan tesis sedetik mana bisa    bangun tidur yang dilihat begini  begini  begini  iyaa  mmemang aku tuh orang nya harus melakukan apa yang dilihat  semua harus dilist  biar teratur mana dulu yang mau dicapai heheu  tapi sad ya banyak sangat mau nya kaya perusahaan start up  ,0
qiansha bukan meminta untuk dikasihani     orang mah gitu  dia cuma lihat luarnya saja   ujar gladys memulai   yang penting kamu jangan lupa yang paling tahu keadaan kamu ya diri kamu sendiri  you did well  qi   ,1
endingnya kirain si taeyong eh ternyata uri fullsun  oh my god fullsun is back huhu im not readyyyy,0
